Date,Open,High,Low,Close,Adj Close,Volume
2012-02-07,65.160004,65.389999,65.019997,65.260002,46.895672,9248100
2012-02-08,65.199997,65.349998,65.089996,65.239998,46.881290,6889400
2012-02-09,65.160004,65.349998,64.820000,64.889999,46.629795,10936200
2012-02-10,64.709999,64.769997,64.250000,64.599998,46.421406,13954200
2012-02-13,64.900002,64.949997,64.599998,64.680000,46.478886,9662500
2012-02-14,64.750000,64.860001,64.330002,64.610001,46.428593,8978500
2012-02-15,64.510002,64.949997,64.470001,64.650002,46.457348,9023400
2012-02-16,64.599998,65.160004,64.440002,64.919998,46.651340,8194500
2012-02-17,65.220001,65.279999,64.809998,64.989998,46.701653,9057500
2012-02-21,65.230003,65.239998,64.750000,65.040001,46.737576,8081700
2012-02-22,65.080002,65.339996,64.870003,65.000000,46.708839,8150600
2012-02-23,65.190002,66.050003,64.900002,65.099998,46.780682,8991500
2012-02-24,64.790001,64.790001,64.190002,64.459999,46.729950,10478200
2012-02-27,64.260002,64.639999,64.019997,64.449997,46.722694,8523000
2012-02-28,64.599998,65.419998,64.500000,65.180000,47.251919,11581400
2012-02-29,65.220001,65.260002,64.709999,65.080002,47.179413,11489100
2012-03-01,65.110001,65.260002,64.639999,64.830002,46.998184,8813800
2012-03-02,64.739998,64.870003,64.570000,64.769997,46.954685,6063900
2012-03-05,64.690002,64.959999,64.540001,64.910004,47.056179,7601000
2012-03-06,64.459999,64.730003,64.190002,64.349998,46.650211,9511100
2012-03-07,64.269997,64.459999,64.120003,64.300003,46.613960,8591800
2012-03-08,64.949997,65.080002,64.739998,64.849998,47.012680,11311100
2012-03-09,64.830002,65.000000,64.589996,64.739998,46.932930,8410600
2012-03-12,64.550003,65.150002,64.540001,65.099998,47.193905,7284700
2012-03-13,65.419998,65.440002,65.029999,65.330002,47.360664,9884100
2012-03-14,65.209999,65.379997,65.019997,65.080002,47.179413,9612200
2012-03-15,64.930000,65.379997,64.849998,65.070000,47.172173,11372900
2012-03-16,65.199997,65.459999,64.809998,65.120003,47.208416,17707000
2012-03-19,64.949997,65.269997,64.900002,65.209999,47.273670,7321800
2012-03-20,65.000000,65.129997,64.760002,64.959999,47.092419,7760400
2012-03-21,64.959999,65.070000,64.639999,64.760002,46.947430,7839600
2012-03-22,64.680000,64.690002,64.400002,64.459999,46.729950,10621300
2012-03-23,64.489998,64.709999,64.370003,64.550003,46.795200,8062500
2012-03-26,64.889999,65.260002,64.830002,65.169998,47.244667,8503800
2012-03-27,65.330002,65.500000,65.220001,65.400002,47.411404,10723800
2012-03-28,65.400002,65.620003,65.180000,65.620003,47.570889,10305500
2012-03-29,65.279999,65.540001,65.199997,65.540001,47.512890,9553300
2012-03-30,65.629997,66.180000,65.580002,65.959999,47.817387,11307700
2012-04-02,66.040001,66.300003,65.820000,66.209999,47.998592,8785900
2012-04-03,66.120003,66.150002,65.500000,65.879997,47.759369,9128400
2012-04-04,65.610001,65.699997,65.360001,65.389999,47.404148,9432300
2012-04-05,65.260002,65.379997,65.089996,65.339996,47.367886,7922700
2012-04-09,64.949997,65.230003,64.879997,64.919998,47.063427,6363400
2012-04-10,64.809998,64.860001,64.160004,64.199997,46.541454,12793200
2012-04-11,64.690002,64.690002,63.959999,64.129997,46.490723,10434100
2012-04-12,64.050003,64.150002,63.680000,64.150002,46.505219,13122300
